[2017-01-28 01:57:35.588] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 01:57:38.592] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 01:57:41.594] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 01:57:44.597] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 01:57:47.602] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 01:57:50.609] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 01:57:53.616] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 01:57:56.622] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 01:57:59.624] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 01:58:02.626] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 01:58:05.630] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 01:58:08.633] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 01:58:11.638] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 01:58:14.643] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 01:58:17.648] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 01:58:20.652] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 01:58:23.656] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 01:58:26.662] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 01:58:29.669] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 01:58:32.676] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 01:58:35.680] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 01:58:38.685] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 01:58:41.689] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 01:58:44.692] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 01:58:47.695] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 01:58:50.699] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 01:58:53.702] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 01:58:56.705] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 01:58:59.708] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 01:59:02.711] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 01:59:05.716] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 01:59:08.720] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 01:59:11.724] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 01:59:14.726] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 01:59:17.731] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 01:59:20.739] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 01:59:23.749] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 01:59:26.755] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 01:59:29.765] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 01:59:32.796] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 01:59:35.802] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 01:59:38.808] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 01:59:41.813] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 01:59:44.820] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 01:59:47.825] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 01:59:50.828] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 01:59:53.830] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 01:59:56.834] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 01:59:59.836] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 02:00:02.843] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 02:00:05.845] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 02:00:08.858] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 02:00:11.868] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 02:00:14.876] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 02:00:17.883] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 02:00:20.895] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 02:00:23.901] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 02:00:26.906] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 02:00:29.909] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 02:00:32.914] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 02:00:35.920] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
[2017-01-28 02:00:38.930] [INFO] asan - { uv: 0, temp: 681, gas: 319, gps: [] }
